Connections between floors
-1,10,0,34
0,34,1,34
1,34,2,34
2,34,3,11

-1,18,0,66
0,66,1,70
1,70,2,56
2,56,3,30

-1,8,0,32
0,32,1,32
1,32,2,32
2,32,3,9

0,22,1,22
1,22,2,23

0,61,1,66,
1,66,2,54

Floor -1
-1,11,-1,13
-1,11,-1,7
-1,11,-1,4
-1,11,-1,5
-1,11,-1,10
-1,11,-1,12
-1,11,-1,14
-1,11,-1,15
-1,13,-1,7
-1,7,-1,6
-1,7,-1,4
-1,4,-1,5
-1,5,-1,8
-1,5,-1,10
-1,8,-1,10
-1,12,-1,14
-1,14,-1,15
-1,15,-1,18

Floor 0
0,66,0,64
0,64,0,60
0,60,0,55
0,55,0,51
0,51,0,47
0,47,0,43
0,43,0,40
0,40,0,33
0,33,0,24
0,24,0,15
0,15,0,17
0,17,0,16
0,16,0,14
0,14,0,13
0,13,0,12
0,12,0,11
0,11,0,10
0,10,0,9
0,9,0,8
0,8,0,7
0,7,0,6
0,6,0,5
0,5,0,4
0,4,0,3
0,3,0,19
0,19,0,31
0,31,0,35
0,35,0,37
0,37,0,41
0,41,0,45
0,45,0,49
0,49,0,52
0,52,0,57
0,61,0,56
0,56,0,53
0,53,0,48
0,48,0,44
0,44,0,39
0,39,0,36
0,36,0,22
0,22,0,20
0,20,0,23
0,23,0,25
0,25,0,26
0,26,0,27
0,27,0,28
0,28,0,29
0,29,0,30
0,30,0,34
0,34,0,38
0,38,0,42
0,42,0,46
0,46,0,50
0,50,0,54
0,54,0,58
0,58,0,62
0,62,0,65
0,32,0,34
0,32,0,30

Floor 1
1,70,1,65
1,65,1,61
1,61,1,57
1,57,1,53
1,53,1,49
1,49,1,45
1,45,1,42
1,42,1,39
1,39,1,36
1,36,1,33
1,33,1,24
1,24,1,15
1,15,1,17
1,17,1,16
1,16,1,14
1,14,1,13
1,13,1,12
1,12,1,11
1,11,1,10
1,10,1,9
1,9,1,8
1,8,1,7
1,7,1,6
1,6,1,5
1,5,1,4
1,4,1,3
1,3,1,19
1,19,1,31
1,31,1,35
1,35,1,38
1,38,1,43
1,43,1,47
1,47,1,51
1,51,1,54
1,54,1,59
1,59,1,63
1,63,1,67
1,66,1,62
1,62,1,58
1,58,1,55
1,55,1,50
1,50,1,46
1,46,1,41
1,41,1,37
1,37,1,22
1,22,1,20
1,20,1,23
1,23,1,25
1,25,1,26
1,26,1,27
1,27,1,28
1,28,1,29
1,29,1,30
1,30,1,34
1,34,1,40
1,40,1,44
1,44,1,48
1,48,1,52
1,52,1,56
1,56,1,60
1,60,1,64
1,64,1,68
1,30,1,32
1,32,1,34

Floor 2
2,56,2,53
2,53,2,51
2,51,2,49
2,49,2,47
2,47,2,45
2,45,2,43
2,43,2,40
2,40,2,38
2,38,2,37
2,37,2,33
2,33,2,25
2,25,2,15
2,15,2,17
2,17,2,16
2,16,2,14
2,14,2,13
2,13,2,12
2,12,2,11
2,11,2,10
2,10,2,9
2,9,2,8
2,8,2,7
2,7,2,6
2,6,2,5
2,5,2,4
2,4,2,3
2,3,2,20
2,20,2,35
2,35,2,42
2,35,2,36
2,42,2,36
2,36,2,54
2,36,2,23
2,23,2,21
2,21,2,24
2,24,2,26
2,26,2,27
2,27,2,28
2,28,2,29
2,29,2,30
2,30,2,31
2,31,2,34
2,34,2,39
2,39,2,41
2,41,2,44
2,44,2,46
2,46,2,48
2,48,2,50
2,50,2,52
2,52,2,55
2,31,2,32
2,34,2,32

Floor 3
3,3,3,8
3,8,3,10
3,10,3,13
3,13,3,14
3,14,3,16
3,16,3,18
3,18,3,20
3,20,3,22
3,22,3,24
3,24,3,26
3,26,3,28
3,28,3,30
3,29,3,27
3,27,3,25
3,25,3,23
3,23,3,21
3,21,3,19
3,19,3,17
3,17,3,15
3,15,3,11
3,11,3,9
3,6,3,9
