0,65,3433,2946,n
0,62,3125,3022,s
0,58,2897,3079,n
0,54,2667,3136,s
0,50,2438,3193,n
0,46,2210,3250,s
0,42,1982,3306,n
0,38,1753,3364,s
0,64,3269,3597,n
0,60,3041,3656,s
0,55,2814,3713,n
0,51,2585,3771,s
0,47,2356,3829,n
0,43,2125,3887,s
0,24,958,4180,n
0,15,627,4225,s
0,16,631,3314,n
0,14,539,3024,s
0,13,512,2732,n
0,12,495,2493,s
0,11,478,2253,n
0,10,461,2013,s
0,9,444,1772,n
0,8,428,1530,s
0,7,410,1286,n
0,6,393,1044,s
0,5,377,803,n
0,4,359,559,s
0,19,793,381,n
0,31,1049,381,s
0,35,1326,381,n
0,37,1612,381,s
0,41,1848,381,n
0,45,2083,381,s
0,49,2319,381,n
0,52,2555,381,s
0,57,2802,381,n
0,53,2555,971,s
0,48,2318,972,n
0,44,2082,973,s
0,39,1847,974,n
0,36,1548,975,s
0,20,993,1250,n
0,23,1010,1492,s
0,25,1025,1732,n
0,26,1041,1973,s
0,27,1058,2213,n
0,28,1073,2455,s
0,29,1090,2695,n
0,30,1112,3063,s
1,68,3440,2930,n
1,64,3132,3022,s
1,60,2904,3079,n
1,56,2674,3136,s
1,52,2445,3193,n
1,48,2217,3250,s
1,44,1989,3306,n
1,40,1760,3364,s
1,65,3276,3597,n
1,61,3048,3656,s
1,57,2821,3713,n
1,53,2592,3771,s
1,49,2363,3829,n
1,45,2132,3887,s
1,42,1904,3946,n
1,39,1674,4003,s
1,36,1444,4061,n
1,33,1210,4120,s
1,24,965,4180,n
1,16,638,3314,s
1,14,546,3024,n
1,13,519,2732,s
1,12,502,2493,n
1,11,485,2253,s
1,10,468,2013,n
1,9,451,1772,s
1,8,435,1530,n
1,7,417,1286,s
1,6,400,1044,n
1,5,384,803,s
1,4,366,559,n
1,19,800,381,s
1,31,1056,381,n
1,35,1333,381,s
1,38,1619,381,n
1,43,1855,381,s
1,47,2090,381,n
1,51,2326,381,s
1,54,2562,381,n
1,59,2797,381,s
1,63,3036,381,n
1,67,3271,382,s
1,62,3028,968,n
1,58,2795,970,s
1,55,2562,971,n
1,50,2325,972,s
1,46,2089,973,n
1,41,1854,974,s
1,37,1555,975,n
1,20,1000,1250,s
1,23,1017,1492,n
1,25,1032,1732,s
1,26,1048,1973,n
1,27,1065,2213,s
1,28,1080,2455,n
1,29,1097,2695,s
1,30,1119,3063,s
2,55,3460,2905,s
2,52,3132,3007,n
2,50,2904,3064,s
2,48,2674,3121,n
2,46,2445,3178,s
2,44,2217,3235,n
2,41,1989,3291,s
2,39,1760,3349,n
2,53,3276,3582,s
2,51,3048,3641,n
2,49,2821,3698,s
2,47,2592,3756,n
2,45,2363,3814,s
2,43,2132,3872,n
2,40,1904,3931,s
2,38,1674,3988,n
2,37,1444,4046,s
2,33,1210,4105,n
2,25,965,4165,s
2,15,628,4200,n
2,16,638,3299,s
2,14,546,3009,n
2,13,519,2717,s
2,12,502,2478,n
2,11,485,2238,s
2,10,468,1998,n
2,9,451,1757,s
2,8,435,1515,n
2,7,417,1271,s
2,6,400,1029,n
2,5,384,788,s
2,4,366,544,n
2,20,926,470,s
2,21,1000,1235,n
2,24,1017,1477,s
2,26,1032,1717,n
2,27,1048,1958,s
2,28,1065,2198,n
2,29,1080,2440,s
2,30,1097,2680,n
2,31,1119,3048,s
3,27,2801,2361,n
3,25,2573,2418,s
3,23,2343,2475,n
3,21,2114,2532,s
3,19,1886,2589,n
3,17,1658,2645,s
3,15,1429,2703,n
3,28,2945,2936,s
3,26,2717,2995,n
3,24,2490,3052,s
3,22,2261,3110,n
3,20,2032,3168,s
3,18,1801,3226,n
3,16,1573,3285,s
3,14,1343,3342,n
3,13,1113,3400,s
3,10,879,3459,n
3,8,634,3519,s
3,3,303,3560,n
